         6225866 function calls (6187628 primitive calls) in 13.866 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.000    0.000    0.060    0.010 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\axis.py:2358(_update_label_position)
   112000    0.060    0.000    0.060    0.000 c:\Users\arthu\Desktop\SistemasInteligentes-Trab1V2\simulated_annealing.py:96(calculate_temperature)
     1348    0.002    0.000    0.060    0.000 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\artist.py:1223(set)
    43/11    0.000    0.000    0.059    0.005 <frozen importlib._bootstrap>:1165(_find_and_load)
    43/11    0.000    0.000    0.059    0.005 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
      366    0.057    0.000    0.057    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
      156    0.001    0.000    0.056    0.000 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\patches.py:579(draw)
    36/11    0.000    0.000    0.055    0.005 <frozen importlib._bootstrap>:666(_load_unlocked)
   316596    0.055    0.000    0.055    0.000 c:\Users\arthu\Desktop\SistemasInteligentes-Trab1V2\simulated_annealing.py:62(get_total_value)
      312    0.007    0.000    0.054    0.000 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\lines.py:287(__init__)
       36    0.000    0.000    0.054    0.002 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\axis.py:469(__init__)
    29/10    0.000    0.000    0.054    0.005 <frozen importlib._bootstrap_external>:934(exec_module)
   405463    0.054    0.000    0.054    0.000 {method 'getrandbits' of '_random.Random' objects}
   103/17    0.000    0.000    0.053    0.003 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
        2    0.000    0.000    0.051    0.026 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\pyplot.py:439(_warn_if_gui_out_of_main_thread)
        5    0.000    0.000    0.051    0.010 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\pyplot.py:270(_get_backend_mod)
      6/1    0.000    0.000    0.051    0.051 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\pyplot.py:284(switch_backend)
      292    0.002    0.000    0.051    0.000 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\axes\_base.py:3925(format_ydata)
       62    0.002    0.000    0.050    0.001 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\axes\_base.py:2389(_update_patch_limits)
        3    0.000    0.000    0.050    0.017 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\axes\_base.py:1381(clear)
        3    0.000    0.000    0.050    0.017 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\axes\_base.py:1254(__clear)
    30/11    0.000    0.000    0.049    0.004 {built-in method builtins.exec}
        5    0.000    0.000    0.049    0.010 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\importlib\__init__.py:108(import_module)
        5    0.000    0.000    0.049    0.010 <frozen importlib._bootstrap>:1192(_gcd_import)
     5706    0.005    0.000    0.047    0.000 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\transforms.py:1340(__add__)
3976/2249    0.021    0.000    0.046    0.000 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\transforms.py:2431(get_affine)
      292    0.002    0.000    0.045    0.000 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\axes\_base.py:3915(format_xdata)
      152    0.000    0.000    0.044    0.000 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\text.py:73(_get_text_metrics_with_cache_impl)
      152    0.001    0.000    0.044    0.000 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\backends\backend_agg.py:208(get_text_width_height_descent)
    74649    0.032    0.000    0.043    0.000 c:\Users\arthu\Desktop\SistemasInteligentes-Trab1V2\simulated_annealing.py:46(get_unique_item_count)
      669    0.001    0.000    0.043    0.000 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\backends\_backend_tk.py:700(set_message)
     3581    0.010    0.000    0.042    0.000 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\copy.py:259(_reconstruct)
      673    0.001    0.000    0.042    0.000 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\tkinter\__init__.py:422(set)
      673    0.041    0.000    0.041    0.000 {method 'globalsetvar' of '_tkinter.tkapp' objects}
    46/22    0.000    0.000    0.040    0.002 <frozen importlib._bootstrap>:1207(_handle_fromlist)
      694    0.012    0.000    0.040    0.000 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\tkinter\__init__.py:1603(_substitute)
    17/10    0.000    0.000    0.040    0.004 {built-in method builtins.__import__}
    27139    0.025    0.000    0.039    0.000 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\transforms.py:1769(__init__)
     7182    0.016    0.000    0.038    0.000 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\transforms.py:2348(__init__)
5917/5061    0.003    0.000    0.038    0.000 {built-in method builtins.next}
    14838    0.034    0.000    0.037    0.000 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\transforms.py:182(set_children)
      229    0.001    0.000    0.037    0.000 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\text.py:104(__init__)
    37102    0.037    0.000    0.037    0.000 {method 'copy' of 'numpy.ndarray' objects}
     1168    0.001    0.000    0.037    0.000 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\transforms.py:1509(transform_affine)
        2    0.000    0.000    0.035    0.018 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\backends\backend_tkagg.py:13(blit)
        2    0.000    0.000    0.035    0.018 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\backends\_backend_tk.py:72(blit)
        2    0.000    0.000    0.035    0.018 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\backends\_backend_tk.py:58(_blit)
        2    0.035    0.018    0.035    0.018 {built-in method matplotlib.backends._tkagg.blit}
   265884    0.034    0.000    0.034    0.000 {method 'bit_length' of 'int' objects}
     3124    0.003    0.000    0.033    0.000 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\numpy\core\fromnumeric.py:200(reshape)
      366    0.001    0.000    0.032    0.000 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\backends\backend_agg.py:250(_prepare_font)
      156    0.002    0.000    0.032    0.000 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\patches.py:530(_draw_paths_with_artist_properties)
     6209    0.013    0.000    0.031    0.000 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\copy.py:66(copy)
     2192    0.004    0.000    0.031    0.000 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\transforms.py:2255(get_affine)
     3232    0.006    0.000    0.031    0.000 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\numpy\core\fromnumeric.py:53(_wrapfunc)
       27    0.000    0.000    0.031    0.001 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\axis.py:944(set_tick_params)
      366    0.007    0.000    0.030    0.000 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\lines.py:666(recache)
     1241    0.002    0.000    0.029    0.000 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\transforms.py:2406(transform_affine)
    19350    0.015    0.000    0.029    0.000 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\__init__.py:754(__getitem__)
     3094    0.004    0.000    0.029    0.000 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\transforms.py:1998(rotate_deg)
        9    0.000    0.000    0.028    0.003 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\axes\_base.py:3157(grid)
       15    0.000    0.000    0.028    0.002 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\axis.py:1658(grid)
     2285    0.002    0.000    0.028    0.000 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\font_manager.py:899(copy)
    91177    0.020    0.000    0.028    0.000 {built-in method builtins.isinstance}
    18/12    0.000    0.000    0.028    0.002 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\axis.py:575(__get__)
     4796    0.007    0.000    0.027    0.000 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\transforms.py:2592(get_matrix)
      222    0.001    0.000    0.027    0.000 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\backends\backend_agg.py:95(draw_path)
     5308    0.017    0.000    0.027    0.000 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\font_manager.py:638(__hash__)
     3869    0.013    0.000    0.027    0.000 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\transforms.py:758(__init__)
     7552    0.027    0.000    0.027    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       18    0.001    0.000    0.026    0.001 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\spines.py:142(get_window_extent)
      222    0.016    0.000    0.026    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
42963/42873    0.016    0.000    0.026    0.000 {built-in method builtins.getattr}
     5093    0.020    0.000    0.026    0.000 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\transforms.py:2043(scale)
     2046    0.021    0.000    0.025    0.000 {built-in method matplotlib._path.point_in_path}
      366    0.002    0.000    0.025    0.000 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\font_manager.py:1303(_find_fonts_by_props)
        1    0.000    0.000    0.025    0.025 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\backends\backend_tkagg.py:1(<module>)
     4092    0.010    0.000    0.025    0.000 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\transforms.py:2452(__init__)
2917/2703    0.002    0.000    0.025    0.000 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\contextlib.py:132(__enter__)
        1    0.000    0.000    0.024    0.024 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\backends\_backend_tk.py:576(delayed_destroy)
        1    0.000    0.000    0.024    0.024 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\tkinter\__init__.py:2364(destroy)
